"knockout","k","retained_nodes","efficiency_sum_before","efficiency_sum_after","D_E","LCC_after","D_LCC","components_after","disconnected_pair_fraction","in_strict","in_relax1"
"ABCG5+CYP7A1+MPO",3,1223,262149.366668236,261993.840477756,0.00059327318793756,1223,0,1,0,FALSE,FALSE
"ABCG5+CYP7A1+NCOA2",3,1223,262167.600001569,262070.871430139,0.000368957000899783,1223,0,1,0,FALSE,TRUE
"ABCG5+CYP7A1+PLA2G7",3,1223,262201.633334901,262078.523811092,0.00046952233761377,1223,0,1,0,FALSE,TRUE
"ABCG5+CYP7A1+PLG",3,1223,262156.666668236,261944.857144423,0.000807950171571092,1223,0,1,0,FALSE,FALSE
"ABCG5+CYP7A1+TFRC",3,1223,262142.783334903,261993.007144424,0.000571353476046754,1223,0,1,0,FALSE,TRUE
"ABCG5+CYP7A1+THBS1",3,1223,262128.383334904,262021.888096807,0.000406271296310212,1223,0,1,0,FALSE,FALSE
"ABCG5+DGAT1+FASN",3,1223,262176.366668235,261926.361906328,0.000953574744682051,1223,0,1,0,FALSE,FALSE
"ABCG5+DGAT1+LPL",3,1223,262163.633334902,261862.54523966,0.00114847391841233,1223,0,1,0,FALSE,FALSE
"ABCG5+DGAT1+NR1H4",3,1223,262194.416668235,261988.295239662,0.000786139656182905,1223,0,1,0,FALSE,FALSE
"ABCG5+F2+PLG",3,1223,262139.666668235,261966.019049185,0.000662424047675914,1223,0,1,0,FALSE,FALSE
"ABCG5+FABP4+FASN",3,1223,262137.283334902,262014.359525376,0.000468929135000851,1223,0,1,0,FALSE,TRUE
"ABCG5+FABP4+LPL",3,1223,262124.550001568,261964.542858709,0.000610424101285978,1223,0,1,0,FALSE,TRUE
"ABCG5+FABP4+NR1H4",3,1223,262155.333334902,262079.376192044,0.000289740978723696,1223,0,1,0,FALSE,TRUE
"ABCG5+FABP4+RXRA",3,1223,262134.766668236,262064.816668234,0.00026684747273753,1223,0,1,0,FALSE,FALSE
"ABCG5+FASN+NR1H4",3,1223,262147.433334902,262003.469049186,0.00054917297447743,1223,0,1,0,FALSE,TRUE
"ABCG5+FASN+SQLE",3,1223,262206.266668233,262085.461906328,0.000460724159800474,1223,0,1,0,FALSE,TRUE
