"gene","D_E"
"IRF1",2.51565958786504e-06
"F3",5.06512205652454e-05
"COX6A2",0
"HDAC6",0.00224539379385513
"DHFR",0.000432000671307331
"C3",5.71048654537387e-05
"KLF4",1.55306529681098e-06
"CLDN4",0
"KDM1A",1.02095556431259e-06
"CXCL13",0
"GRIN2C",0
"PIK3R1",8.58632323516018e-05
"CANX",1.97509086227177e-05
"CTTN",3.87091702189757e-05
"ARRB2",0.00200347739726958
"PTPN11",6.90177315789686e-05
"DLG3",1.43975343644964e-05
"PKIA",6.60280966413573e-06
"MAPK1",0.000109601033889684
"CACNA1B",2.53322791965438e-07
"GLDC",1.23413358530389e-05
"AMY2B",0
"STAT3",0.00112861399058628
"ATIC",0.00121372034152611
"AKR1C1",4.07171144596319e-05
"CD40LG",4.62334860951152e-07
"CSK",0
"YWHAE",1.50741471337534e-05
"ERBB3",1.23938802554235e-08
"KCNMA1",3.41040414593152e-05
"AURKA",6.03032874612053e-05
"CDK1",0.000360602492760931
"HSF1",0
"DUSP1",0
"GGCX",7.19055804342394e-05
"ACLY",0.0001157780212383
"CXCL1",1.37635161290284e-06
"UGT1A1",4.38944756567805e-05
"ACACA",0.000130327338196068
"GABRA1",0.000459514963564778
"NOX1",3.30397006965688e-05
"CYCS",0.00220146862695692
"ATG7",9.45930965357e-06
"GRIK1",0
"KCNE2",2.76091254192146e-07
"IFNG",7.42810341266553e-05
"GRIN2D",1.5834128896941e-08
"AMY1B",0.00114063211912041
"HSPA1B",4.24523105357899e-06
"NR1H2",3.50613252320109e-07
"AMY2A",1.08868938186735e-06
"SMAD7",2.95038960829164e-06
"CYP51A1",2.91906273017783e-05
"CACNA1D",0.000170757786132181
"HDAC4",1.16662718083749e-05
"CXCL8",0.000236351733904017
"ADORA2A",0.00135496413847513
"RELA",0.000171980209142442
"BIRC5",4.36072684835143e-05
"GAMT",3.83863832550402e-05
"CYB5A",0.000142344369911118
"CXCL10",1.7141925222619e-05
"HGF",1.51588215124843e-06
