"anchor","pool_rank","gene","degree","betweenness_centrality","match_distance"
"LCN2",11,"GRIA2",25,0.00129746001101539,0.100669032503201
"LCN2",12,"EIF2AK2",21,0.00133218657035178,0.118413221329556
"LCN2",13,"AURKB",25,0.00134984802029046,0.122943879277565
"LCN2",14,"GOT1",20,0.00125662854037479,0.141832391244069
"LCN2",15,"CYP17A1",26,0.0013365710182806,0.149044536809585
"LCN2",16,"CALR",26,0.0010134548564031,0.152328844272243
"LCN2",17,"CACNA1B",24,0.000948211355508168,0.152936423743023
"LCN2",18,"NPPA",21,0.00144915682394271,0.153806060211676
"LCN2",19,"ALDH1B1",20,0.00102094216094316,0.159925943526855
"LCN2",20,"ACE2",24,0.000897452402917475,0.180248023712363
"LCN2",21,"FABP4",22,0.000894509785022577,0.186166210296866
"LCN2",22,"EIF2S1",19,0.00120861354529008,0.189795575769552
"LCN2",23,"NDUFS3",19,0.00112026181937943,0.192302455268289
"LCN2",24,"ADH5",21,0.00152470146945021,0.199710494064754
"LCN2",25,"VIM",27,0.000972047644247074,0.201256332896038
"LCN2",26,"C3",28,0.00105090286925624,0.207419655877724
"LCN2",27,"ACTG1",22,0.000854280805398979,0.208188807549733
"LCN2",28,"PRKCZ",22,0.00157475283414893,0.208188807549733
"LCN2",29,"RYR2",24,0.00159959744367969,0.216115229729139
"LCN2",30,"PPIF",19,0.000981532705225295,0.219443449909625
"LCN2",31,"CALM2",26,0.000888264500446232,0.223161459718427
"LCN2",32,"COL1A2",21,0.000854081653545208,0.225255818138937
"LCN2",33,"PARK7",26,0.000876730084214591,0.225527560349576
"LCN2",34,"GRIA1",27,0.000936564190781049,0.229340941073071
"LCN2",35,"KEAP1",24,0.00162895944064813,0.22998273913321
"LCN2",36,"NFATC1",27,0.000920848444182727,0.231368092289722
"LCN2",37,"ITGA5",23,0.00165247779668056,0.24297520512973
"LCN2",38,"FURIN",18,0.00122654871546948,0.243427092900745
"LCN2",39,"RYR1",29,0.00133225121132037,0.245367612547777
