"sampled_set","D_E","Syn_Bliss","Syn_add","iteration"
"HDAC6+PTK2B",6.8909445130716e-05,1.17781365216452e-07,1.1679528877373e-07,95
"MAP1LC3B+VTN",8.2349557384509e-05,1.39819984701361e-07,1.39133694454507e-07,96
"DDIT3+SIRT3",5.3237181258825e-05,8.98866486798156e-08,8.92115216144518e-08,97
"SYP+VTN",5.00198426365284e-05,8.50752938097443e-08,8.46933445597386e-08,98
"OPRM1+PTK2",5.3670372970549e-05,9.30387925590637e-08,9.24141403402245e-08,99
"FOXM1+POU5F1",7.44960609853074e-05,-2.98178600477428e-07,-2.99509139600751e-07,100
"UGT1A1+VIM",7.8570153726254e-05,1.3557713884893e-07,1.34144861663188e-07,101
"FOXM1+SYP",8.62999402968523e-05,1.48840107128123e-07,1.46991133820329e-07,102
"MAPK9+PROM1",0.000112490372843999,1.93084541022515e-07,1.90897438523407e-07,103
"RXRA+THBS1",7.9649124784531e-05,1.39560157763619e-07,1.38031185703547e-07,104
"CACNA1D+INSR",5.63673609900173e-05,9.33137367375991e-08,9.25226533166068e-08,105
"SIRT3+SLC6A4",7.01962515443633e-05,1.19259164987895e-07,1.18039794938518e-07,106
"CDH5+DNMT1",6.75418568401032e-05,1.18794348802354e-07,1.17976550195742e-07,107
"BACE1+SREBF2",9.38093070167456e-05,1.56957447150496e-07,1.56244566174024e-07,108
"AFP+CRH",6.44006455223778e-05,1.09320440477845e-07,1.08328404246905e-07,109
"CYP7A1+HDAC6",6.39706349889746e-05,1.08834312673167e-07,1.07948608163433e-07,110
"ATF6+GRIN1",7.36282909903352e-05,1.23686019204428e-07,1.22342417974153e-07,111
"C3+PTK2B",8.92996213514019e-05,1.51014392990589e-07,1.49042319153025e-07,112
"NOS1+NOX4",5.3242838828349e-05,9.28212224859948e-08,9.21536016385005e-08,113
"NOS2+XDH",7.40678655714033e-05,1.29582898078517e-07,1.28222206408068e-07,114
"DPP4+PTK2B",8.28660596375874e-05,1.43610049629928e-07,1.41949229481853e-07,115
"FOXM1+INSR",7.4705069539327e-05,1.27340375466467e-07,1.26019719881576e-07,116
"C3+XDH",7.53501625095909e-05,1.29210122934431e-07,1.27805171334927e-07,117
"AFP+NOS2",7.8144734096619e-05,1.35758163932742e-07,1.34236939008936e-07,118
"RXRA+SLC6A3",7.95587405202358e-05,1.36739043865575e-07,1.35214181629095e-07,119
"CDH5+DNMT1",6.75418568401032e-05,1.18794348802354e-07,1.17976550195742e-07,120
"CRH+SYP",6.63344733574656e-05,1.13309407634432e-07,1.12267741214644e-07,121
"NOS2+PARK7",0.000163162382381121,-1.42673623937384e-06,-1.43167186750226e-06,122
"PRKCB+SREBF2",3.8854572360858e-05,6.51123126527153e-08,6.48579687734241e-08,123
"MAP3K5+SYP",6.82692860117795e-05,1.18347585509326e-07,1.17227749285576e-07,124
"HDAC2+MAPK9",3.5637540791611e-05,6.19266109502803e-08,6.1663289474545e-08,125
"SLC6A3+VTN",4.19899059374007e-05,7.1231628817614e-08,7.09252683250838e-08,126
"PRKCB+SREBF2",3.8854572360858e-05,6.51123126527153e-08,6.48579687734241e-08,127
"BACE1+SYP",0.000125587297726604,-2.10116828491813e-07,-2.13571764939857e-07,128
"GDNF+VTN",5.38821857239968e-05,9.12988363799272e-08,9.08805253274636e-08,129
"DPP4+NR1I2",5.34547848953792e-05,9.13038303851366e-08,9.06497937824824e-08,130
"NCF1+NR1I2",3.82107297723921e-05,6.45599063098246e-08,6.41961167557881e-08,131
"BGLAP+RXRA",9.46697821370135e-05,1.62104296763665e-07,1.59871368921038e-07,132
"HDAC4+NPPA",0.000123439022323812,2.13837890949975e-07,2.10093094921149e-07,133
"LYN+YWHAE",8.24399228747108e-05,1.44370597365828e-07,1.4281131310856e-07,134
"ATF6+NOS1",7.23465910945631e-05,1.24894079411852e-07,1.23601068380275e-07,135
"HDAC6+NR1I2",3.94993000027988e-05,6.7013787630188e-08,6.66254673653555e-08,136
"PARK7+PRKDC",0.000173019019173659,2.92051948180827e-07,2.86097665336271e-07,137
"CD163+TYR",8.97328952279564e-05,1.53781988476709e-07,1.51963917449649e-07,138
"MAPK9+UGT1A1",7.47019585075615e-05,1.26337536654475e-07,1.25096297542981e-07,139
"AURKA+NR1I2",4.20735981456755e-05,7.05753864238545e-08,7.01380332701618e-08,140
"ACACA+FABP4",7.10555009164615e-05,-9.36606576740218e-08,-9.47609026802354e-08,141
"BMP4+FURIN",0.000101624938547928,1.7461994772372e-07,1.72683001675722e-07,142
"PRKCB+PTGS1",0.000167865971003045,2.86962399065338e-07,2.8278862362896e-07,143
"AFP+NOS1",7.14887065895731e-05,1.2376338176523e-07,1.22498465038312e-07,144
"ACE2+POU5F1",7.21389127555927e-05,1.28026191537067e-07,1.26776784514782e-07,145
"NOX4+UGT1A1",6.99822601460953e-05,1.20383393809043e-07,1.19375509255448e-07,146
"GDNF+MAPK9",6.95535780883549e-05,1.18749442168387e-07,1.17637107499569e-07,147
"C3+SIRT3",7.29860508180691e-05,1.23669663176784e-07,1.22360750642869e-07,148
"NOX4+RAC1",5.04495765734081e-05,8.69916603196685e-08,8.6380793296037e-08,149
"CACNA1D+TOP2A",6.64533633940589e-05,1.08591485248333e-07,1.07525029102717e-07,150
"ADRB2+PTK2",6.93462010109558e-05,1.21539356578992e-07,1.2064641885523e-07,151
"CRH+CYP2C9",8.14868840481875e-05,1.37910432074229e-07,1.36479719858862e-07,152
"ACACA+ATF6",8.80147634709783e-05,1.50386195940655e-07,1.48476330563696e-07,153
"PRDX1+VTN",4.29331461800908e-05,7.25400041146074e-08,7.22247616158356e-08,154
"DRD1+RAC1",6.5255678618148e-05,1.09279615467806e-07,1.08225176487231e-07,155
"ATF6+CRH",6.52585643106107e-05,1.10479360548865e-07,1.09465290831778e-07,156
"BGLAP+RXRA",9.46697821370135e-05,1.62104296763665e-07,1.59871368921038e-07,157
"DDIT3+OPRM1",5.75306999285319e-05,9.72104263752271e-08,9.64452797624915e-08,158
