query_gene,status,reason
BMI1,accepted,exact preferredName
BMP2,accepted,exact preferredName
BMP4,accepted,exact preferredName
BMPR2,accepted,exact preferredName
BRCA1,accepted,exact preferredName
BTK,accepted,exact preferredName
C3,accepted,exact preferredName
C8G,accepted,exact preferredName
CA1,accepted,exact preferredName
CA2,accepted,exact preferredName
CACNA1A,accepted,exact preferredName
CACNA1B,accepted,exact preferredName
CACNA1C,accepted,exact preferredName
CACNA1D,accepted,exact preferredName
CACNA1E,accepted,exact preferredName
CACNA1G,accepted,exact preferredName
CACNA1H,accepted,exact preferredName
CACNA1I,accepted,exact preferredName
CACNA2D2,accepted,exact preferredName
CACNA2D3,accepted,exact preferredName
CACNA2D4,accepted,exact preferredName
CACNB1,accepted,exact preferredName
CACNB2,accepted,exact preferredName
CACNB3,accepted,exact preferredName
CACNB4,accepted,exact preferredName
CACNG1,accepted,exact preferredName
CACNG2,accepted,exact preferredName
CACNG3,accepted,exact preferredName
CACNG4,accepted,exact preferredName
CACNG6,accepted,exact preferredName
CALCA,accepted,exact preferredName
CALCR,accepted,exact preferredName
CALM1,accepted,exact preferredName
CALM2,accepted,exact preferredName
CALM3,accepted,exact preferredName
CALML3,accepted,exact preferredName
CALML5,accepted,exact preferredName
CALR,accepted,exact preferredName
CAMK2G,accepted,exact preferredName
CAMK4,accepted,exact preferredName
CAMKK2,accepted,exact preferredName
CAMLG,accepted,exact preferredName
CAMP,accepted,exact preferredName
CANX,accepted,exact preferredName
CAPN10,accepted,exact preferredName
CAPS,accepted,exact preferredName
CASP1,accepted,exact preferredName
CASP3,accepted,exact preferredName
CASP6,accepted,exact preferredName
CASP7,accepted,exact preferredName
CASP8,accepted,exact preferredName
CASP9,accepted,exact preferredName
CASQ1,accepted,exact preferredName
CASR,accepted,exact preferredName
CAT,accepted,exact preferredName
CATSPER1,accepted,exact preferredName
CAV1,accepted,exact preferredName
CBR1,accepted,exact preferredName
CBR3,accepted,exact preferredName
CCK,accepted,exact preferredName
CCL2,accepted,exact preferredName
CCL22,accepted,exact preferredName
CCL3,accepted,exact preferredName
CCL8,accepted,exact preferredName
CCNA2,accepted,exact preferredName
CCNB1,accepted,exact preferredName
CCND1,accepted,exact preferredName
CCND3,accepted,exact preferredName
CCR6,accepted,exact preferredName
CCR7,accepted,exact preferredName
CD14,accepted,exact preferredName
CD163,accepted,exact preferredName
CD274,accepted,exact preferredName
CD36,accepted,exact preferredName
CD40,accepted,exact preferredName
CD40LG,accepted,exact preferredName
CD44,accepted,exact preferredName
CD55,accepted,exact preferredName
CD80,accepted,exact preferredName
CD83,accepted,exact preferredName
CD86,accepted,exact preferredName
CDC25A,accepted,exact preferredName
CDH1,accepted,exact preferredName
CDH5,accepted,exact preferredName
CDK1,accepted,exact preferredName
CDK2,accepted,exact preferredName
CDK4,accepted,exact preferredName
CDK5,accepted,exact preferredName
CDK8,accepted,exact preferredName
CDKN1A,accepted,exact preferredName
CDKN1B,accepted,exact preferredName
CDKN1C,accepted,exact preferredName
CDKN2A,accepted,exact preferredName
CDT1,accepted,exact preferredName
CEBPA,accepted,exact preferredName
CEBPB,accepted,exact preferredName
CELF1,accepted,exact preferredName
CES1,accepted,exact preferredName
CES3,accepted,exact preferredName
CFLAR,accepted,exact preferredName
CFTR,accepted,exact preferredName
CHAT,accepted,exact preferredName
CHEK1,accepted,exact preferredName
CHEK2,accepted,exact preferredName
CHP1,accepted,exact preferredName
CHRM1,accepted,exact preferredName
CHRM2,accepted,exact preferredName
CHRM3,accepted,exact preferredName
CHRM4,accepted,exact preferredName
CHRNA10,accepted,exact preferredName
CHRNA2,accepted,exact preferredName
CHRNA3,accepted,exact preferredName
CHRNA4,accepted,exact preferredName
CHRNA5,accepted,exact preferredName
CHRNA7,accepted,exact preferredName
CHRNA9,accepted,exact preferredName
CHRNB2,accepted,exact preferredName
CHRNB3,accepted,exact preferredName
CHUK,accepted,exact preferredName
CIB2,accepted,exact preferredName
CISD1,accepted,exact preferredName
CKB,accepted,exact preferredName
CKMT1A,accepted,exact preferredName
CLDN1,accepted,exact preferredName
CLDN4,accepted,exact preferredName
CLDN5,accepted,exact preferredName
CLEC4E,accepted,exact preferredName
CLIP1,accepted,exact preferredName
CMA1,accepted,exact preferredName
CNR1,accepted,exact preferredName
CNR2,accepted,exact preferredName
COL11A2,accepted,exact preferredName
COL1A1,accepted,exact preferredName
COL1A2,accepted,exact preferredName
COL3A1,accepted,exact preferredName
COL7A1,accepted,exact preferredName
COMT,accepted,exact preferredName
COX2,excluded,ambiguous symbol: PTGS2/COX-2 versus mitochondrial MT-CO2; excluded
COX3,excluded,no exact or reviewed protein mapping returned by STRING
COX5A,accepted,exact preferredName
COX5B,accepted,exact preferredName
COX6A2,accepted,exact preferredName
COX6B1,accepted,exact preferredName
COX6C,accepted,exact preferredName
COX7B,accepted,exact preferredName
CP,accepted,exact preferredName
CPNE1,accepted,exact preferredName
CPS1,accepted,exact preferredName
CPT1A,accepted,exact preferredName
CPT1B,accepted,exact preferredName
CPT1C,accepted,exact preferredName
CRBN,accepted,exact preferredName
CREB1,accepted,exact preferredName
CRH,accepted,exact preferredName
CRK,accepted,exact preferredName
CRMP1,accepted,exact preferredName
CRP,accepted,exact preferredName
CRTC1,accepted,exact preferredName
CRTC2,accepted,exact preferredName
CRYZ,accepted,exact preferredName
CS,accepted,exact preferredName
CSAD,accepted,exact preferredName
CSF1,accepted,exact preferredName
CSF2,accepted,exact preferredName
CSF3,accepted,exact preferredName
CSK,accepted,exact preferredName
CSRP1,accepted,exact preferredName
CTGF,accepted,reviewed alias -> CCN2
CTNNB1,accepted,exact preferredName
CTRB1,accepted,exact preferredName
CTRC,accepted,exact preferredName
CTSD,accepted,exact preferredName
CTSG,accepted,exact preferredName
CTSK,accepted,exact preferredName
CTSL,accepted,exact preferredName
CTTN,accepted,exact preferredName
CX3CR1,accepted,exact preferredName
CXADR,accepted,exact preferredName
CXCL1,accepted,exact preferredName
CXCL10,accepted,exact preferredName
CXCL13,accepted,exact preferredName
CXCL2,accepted,exact preferredName
CXCL8,accepted,exact preferredName
CXCR4,accepted,exact preferredName
CYB5A,accepted,exact preferredName
CYBA,accepted,exact preferredName
CYBB,accepted,exact preferredName
CYC1,accepted,exact preferredName
CYCS,accepted,exact preferredName
CYP11A1,accepted,exact preferredName
CYP11B1,accepted,exact preferredName
CYP11B2,accepted,exact preferredName
CYP17A1,accepted,exact preferredName
CYP19A1,accepted,exact preferredName
CYP1A1,accepted,exact preferredName
CYP1A2,accepted,exact preferredName
CYP1B1,accepted,exact preferredName
CYP21A2,accepted,exact preferredName
CYP24A1,accepted,exact preferredName
CYP26C1,accepted,exact preferredName
CYP27B1,accepted,exact preferredName
CYP27C1,accepted,exact preferredName
CYP2A6,accepted,exact preferredName
CYP2C19,accepted,exact preferredName
CYP2C8,accepted,exact preferredName
CYP2C9,accepted,exact preferredName
CYP2D6,accepted,exact preferredName
CYP2E1,accepted,exact preferredName
CYP3A4,accepted,exact preferredName
CYP3A5,accepted,exact preferredName
CYP51A1,accepted,exact preferredName
CYP7A1,accepted,exact preferredName
CYP7B1,accepted,exact preferredName
CYTB,accepted,reviewed alias -> MT-CYB
DAO,accepted,exact preferredName
DBH,accepted,exact preferredName
DBP,accepted,exact preferredName
DCK,accepted,exact preferredName
DDB1,accepted,exact preferredName
DDC,accepted,exact preferredName
DDIT3,accepted,exact preferredName
DDO,accepted,exact preferredName
DGAT1,accepted,exact preferredName
DGKA,accepted,exact preferredName
DGKD,accepted,exact preferredName
DHCR7,accepted,exact preferredName
DHFR,accepted,exact preferredName
DHODH,accepted,exact preferredName
DHRS3,accepted,exact preferredName
DHRS4,accepted,exact preferredName
DIO1,accepted,exact preferredName
DKK1,accepted,exact preferredName
DLG1,accepted,exact preferredName
DLG2,accepted,exact preferredName
DLG3,accepted,exact preferredName
DLG4,accepted,exact preferredName
DMP1,accepted,exact preferredName
DNAJC5,accepted,exact preferredName
DNM1L,accepted,exact preferredName
DNMT1,accepted,exact preferredName
DNMT3B,accepted,exact preferredName
DNPEP,accepted,exact preferredName
DPP4,accepted,exact preferredName
DRD1,accepted,exact preferredName
DRD2,accepted,exact preferredName
DRD3,accepted,exact preferredName
DRD4,accepted,exact preferredName
DRD5,accepted,exact preferredName
DSPP,accepted,exact preferredName
DUOX2,accepted,exact preferredName
DUOXA1,accepted,exact preferredName
DUSP1,accepted,exact preferredName
DYSF,accepted,exact preferredName
E2F1,accepted,exact preferredName
E2F2,accepted,exact preferredName
EBP,accepted,exact preferredName
EDN1,accepted,exact preferredName
EEF2K,accepted,exact preferredName
EGF,accepted,exact preferredName
EGFR,accepted,exact preferredName
EGLN1,accepted,exact preferredName
EGLN3,accepted,exact preferredName
EGR1,accepted,exact preferredName
EIF2A,accepted,exact preferredName
EIF2AK2,accepted,exact preferredName
EIF2S1,accepted,exact preferredName
EIF4E,accepted,exact preferredName
EIF4EBP1,accepted,exact preferredName
EIF4G1,accepted,exact preferredName
ELK1,accepted,exact preferredName
ELOVL2,accepted,exact preferredName
ELOVL4,accepted,exact preferredName
ELOVL5,accepted,exact preferredName
ELOVL6,accepted,exact preferredName
ENPP7,accepted,exact preferredName
EPHB6,accepted,exact preferredName
EPOR,accepted,exact preferredName
ERBB2,accepted,exact preferredName
ERBB3,accepted,exact preferredName
EREG,accepted,exact preferredName
ERN1,accepted,exact preferredName
ESR1,accepted,exact preferredName
ESR2,accepted,exact preferredName
ESRRA,accepted,exact preferredName
ESRRB,accepted,exact preferredName
ESRRG,accepted,exact preferredName
F10,accepted,exact preferredName
F12,accepted,exact preferredName
F2,accepted,exact preferredName
F2RL1,accepted,exact preferredName
F3,accepted,exact preferredName
F7,accepted,exact preferredName
FABP1,accepted,exact preferredName
FABP2,accepted,exact preferredName
FABP3,accepted,exact preferredName
FABP4,accepted,exact preferredName
FABP5,accepted,exact preferredName
FABP7,accepted,exact preferredName
FADS1,accepted,exact preferredName
FADS2,accepted,exact preferredName
FAS,accepted,exact preferredName
FASLG,accepted,exact preferredName
FASN,accepted,exact preferredName
FBP1,accepted,exact preferredName
FCER1A,accepted,exact preferredName
FDPS,accepted,exact preferredName
FEN1,accepted,exact preferredName
FGB,accepted,exact preferredName
FGF1,accepted,exact preferredName
FGF2,accepted,exact preferredName
FGF23,accepted,exact preferredName
FGF4,accepted,exact preferredName
FGFR2,accepted,exact preferredName
FKBP1A,accepted,exact preferredName
FKRP,accepted,exact preferredName
FN1,accepted,exact preferredName
FOS,accepted,exact preferredName
FOSL1,accepted,exact preferredName
FOSL2,accepted,exact preferredName
FOXM1,accepted,exact preferredName
FOXO1,accepted,exact preferredName
FOXO3,accepted,exact preferredName
FOXP3,accepted,exact preferredName
FSHR,accepted,exact preferredName
FTCD,accepted,exact preferredName
FTH1,accepted,exact preferredName
FTL,accepted,exact preferredName
FURIN,accepted,exact preferredName
FUS,accepted,exact preferredName
FXN,accepted,exact preferredName
GAA,accepted,exact preferredName
GABBR1,accepted,exact preferredName
GABRA1,accepted,exact preferredName
GABRA2,accepted,exact preferredName
GABRA3,accepted,exact preferredName
GABRA4,accepted,exact preferredName
GABRA5,accepted,exact preferredName
GABRA6,accepted,exact preferredName
GABRB1,accepted,exact preferredName
GABRB2,accepted,exact preferredName
GABRB3,accepted,exact preferredName
GABRD,accepted,exact preferredName
GABRE,accepted,exact preferredName
GABRG1,accepted,exact preferredName
GABRG2,accepted,exact preferredName
GABRG3,accepted,exact preferredName
GABRP,accepted,exact preferredName
GABRQ,accepted,exact preferredName
GABRR1,accepted,exact preferredName
GABRR3,accepted,exact preferredName
GAD1,accepted,exact preferredName
GAMT,accepted,exact preferredName
GANAB,accepted,exact preferredName
GAP43,accepted,exact preferredName
GAS6,accepted,exact preferredName
GATM,accepted,exact preferredName
GCA,accepted,exact preferredName
GCAT,accepted,exact preferredName
GCG,accepted,exact preferredName
GCK,accepted,exact preferredName
GCLC,accepted,exact preferredName
GCLM,accepted,exact preferredName
GDNF,accepted,exact preferredName
GFAP,accepted,exact preferredName
GGCX,accepted,exact preferredName
GGPS1,accepted,exact preferredName
GJA1,accepted,exact preferredName
GK,accepted,exact preferredName
GLA,accepted,exact preferredName
GLB1,accepted,exact preferredName
GLDC,accepted,exact preferredName
GLI1,accepted,exact preferredName
GLO1,accepted,exact preferredName
GLP1R,accepted,exact preferredName
GLRA1,accepted,exact preferredName
GLRA2,accepted,exact preferredName
GLRA3,accepted,exact preferredName
GLRB,accepted,exact preferredName
GLUD1,accepted,exact preferredName
GLUL,accepted,exact preferredName
GLYAT,accepted,exact preferredName
GM2A,accepted,exact preferredName
GNMT,accepted,exact preferredName
GOT1,accepted,exact preferredName
GOT2,accepted,exact preferredName
GP1BA,accepted,exact preferredName
GP6,accepted,exact preferredName
GPBAR1,accepted,exact preferredName
GPD1,accepted,exact preferredName
GPER1,accepted,exact preferredName
GPR12,accepted,exact preferredName
GPR18,accepted,exact preferredName
GPR35,accepted,exact preferredName
GPR83,accepted,exact preferredName
GPRC5A,accepted,exact preferredName
GPT2,accepted,exact preferredName
GRIA1,accepted,exact preferredName
GRIA2,accepted,exact preferredName
GRIA4,accepted,exact preferredName
GRIK1,accepted,exact preferredName
GRIK2,accepted,exact preferredName
GRIN1,accepted,exact preferredName
GRIN2A,accepted,exact preferredName
GRIN2B,accepted,exact preferredName
GRIN2C,accepted,exact preferredName
GRIN2D,accepted,exact preferredName
GRIN3A,accepted,exact preferredName
GRIN3B,accepted,exact preferredName
GRM5,accepted,exact preferredName
GSK3A,accepted,exact preferredName
GSK3B,accepted,exact preferredName
GSR,accepted,exact preferredName
GSS,accepted,exact preferredName
GSTA2,accepted,exact preferredName
GSTK1,accepted,exact preferredName
GSTM1,accepted,exact preferredName
GSTM2,accepted,exact preferredName
GSTM3,accepted,exact preferredName
GSTP1,accepted,exact preferredName
GSTT1,excluded,no exact or reviewed protein mapping returned by STRING
GSTZ1,accepted,exact preferredName
GUSB,accepted,exact preferredName
GYPA,accepted,exact preferredName
HAMP,accepted,exact preferredName
HAS2,accepted,exact preferredName
HBA1,accepted,exact preferredName
HBA2,accepted,exact preferredName
HBB,accepted,exact preferredName
HCAR2,accepted,exact preferredName
HCN2,accepted,exact preferredName
HCN4,accepted,exact preferredName
HCRT,accepted,exact preferredName
HCRTR1,accepted,exact preferredName
HCRTR2,accepted,exact preferredName
HDAC1,accepted,exact preferredName
HDAC10,accepted,exact preferredName
HDAC11,accepted,exact preferredName
HDAC2,accepted,exact preferredName
HDAC3,accepted,exact preferredName
HDAC4,accepted,exact preferredName
HDAC5,accepted,exact preferredName
HDAC6,accepted,exact preferredName
HDAC7,accepted,exact preferredName
