query_gene,status,reason
RNASE1,accepted,exact preferredName
RNASE4,accepted,exact preferredName
RORA,accepted,exact preferredName
ROS1,accepted,exact preferredName
RPL17,accepted,exact preferredName
RPS6KA3,accepted,exact preferredName
RPS6KB1,accepted,exact preferredName
RRM1,accepted,exact preferredName
RRM2B,accepted,exact preferredName
RTCB,accepted,exact preferredName
RUNX1T1,accepted,exact preferredName
RUNX2,accepted,exact preferredName
RUNX3,accepted,exact preferredName
RXRA,accepted,exact preferredName
RXRB,accepted,exact preferredName
RXRG,accepted,exact preferredName
RYR1,accepted,exact preferredName
RYR2,accepted,exact preferredName
S100A13,accepted,exact preferredName
S100A7,accepted,exact preferredName
S100A7A,accepted,exact preferredName
S100A8,accepted,exact preferredName
SCARB1,accepted,exact preferredName
SCD,accepted,exact preferredName
SCN11A,accepted,exact preferredName
SCN1A,accepted,exact preferredName
SCN1B,accepted,exact preferredName
SCN2A,accepted,exact preferredName
SCN2B,accepted,exact preferredName
SCN4B,accepted,exact preferredName
SCN5A,accepted,exact preferredName
SCN8A,accepted,exact preferredName
SCNN1A,accepted,exact preferredName
SDHA,accepted,exact preferredName
SEC14L2,accepted,exact preferredName
SEC14L3,accepted,exact preferredName
SELE,accepted,exact preferredName
SELP,accepted,exact preferredName
SEMA3A,accepted,exact preferredName
SERPINB9,accepted,exact preferredName
SERPINE1,accepted,exact preferredName
SFN,accepted,exact preferredName
SH3BP5,accepted,exact preferredName
SHANK1,accepted,exact preferredName
SHBG,accepted,exact preferredName
SHH,accepted,exact preferredName
SHMT1,accepted,exact preferredName
SIGMAR1,accepted,exact preferredName
SIRT1,accepted,exact preferredName
SIRT2,accepted,exact preferredName
SIRT3,accepted,exact preferredName
SIRT6,accepted,exact preferredName
SKP2,accepted,exact preferredName
SLC10A1,accepted,exact preferredName
SLC11A1,accepted,exact preferredName
SLC11A2,accepted,exact preferredName
SLC15A1,accepted,exact preferredName
SLC16A1,accepted,exact preferredName
SLC18A2,accepted,exact preferredName
SLC1A3,accepted,exact preferredName
SLC1A6,accepted,exact preferredName
SLC25A13,accepted,exact preferredName
SLC29A1,accepted,exact preferredName
SLC29A2,accepted,exact preferredName
SLC2A1,accepted,exact preferredName
SLC2A2,accepted,exact preferredName
SLC2A4,accepted,exact preferredName
SLC47A1,accepted,exact preferredName
SLC5A1,accepted,exact preferredName
SLC5A5,accepted,exact preferredName
SLC6A2,accepted,exact preferredName
SLC6A3,accepted,exact preferredName
SLC6A4,accepted,exact preferredName
SLC6A8,accepted,exact preferredName
SLC7A1,accepted,exact preferredName
SLC7A2,accepted,exact preferredName
SLC7A4,accepted,exact preferredName
SLC8A1,accepted,exact preferredName
SLC8A2,accepted,exact preferredName
SLCO1A2,accepted,exact preferredName
SLCO1B1,accepted,exact preferredName
SLCO2B1,accepted,exact preferredName
SLPI,accepted,exact preferredName
SMAD1,accepted,exact preferredName
SMAD2,accepted,exact preferredName
SMAD3,accepted,exact preferredName
SMAD7,accepted,exact preferredName
SMO,accepted,exact preferredName
SNAI1,accepted,exact preferredName
SNAI2,accepted,exact preferredName
SNCA,accepted,exact preferredName
SOAT1,accepted,exact preferredName
SOCS3,accepted,exact preferredName
SOD1,accepted,exact preferredName
SOD2,accepted,exact preferredName
SOX2,accepted,exact preferredName
SOX9,accepted,exact preferredName
SPI1,accepted,exact preferredName
SPP1,accepted,exact preferredName
SQLE,accepted,exact preferredName
SRC,accepted,exact preferredName
SRD5A2,accepted,exact preferredName
SREBF1,accepted,exact preferredName
SREBF2,accepted,exact preferredName
SRI,accepted,exact preferredName
SRPK1,accepted,exact preferredName
SRPK2,accepted,exact preferredName
SRPK3,accepted,exact preferredName
SRR,accepted,exact preferredName
SSTR5,accepted,exact preferredName
ST6GAL2,accepted,exact preferredName
STAT1,accepted,exact preferredName
STAT3,accepted,exact preferredName
STAT4,accepted,exact preferredName
STAT5A,accepted,exact preferredName
STAT5B,accepted,exact preferredName
STXBP1,accepted,exact preferredName
SULT1A1,accepted,exact preferredName
SULT1E1,accepted,exact preferredName
SULT2A1,accepted,exact preferredName
SYK,accepted,exact preferredName
SYP,accepted,exact preferredName
SYT1,accepted,exact preferredName
TAAR1,accepted,exact preferredName
TAC1,accepted,exact preferredName
TACR1,accepted,exact preferredName
TACR3,accepted,exact preferredName
TAT,accepted,exact preferredName
TBK1,accepted,exact preferredName
TEK,accepted,exact preferredName
TEP1,accepted,exact preferredName
TF,accepted,exact preferredName
TFAM,accepted,exact preferredName
TFEB,accepted,exact preferredName
TFF1,accepted,exact preferredName
TFF2,accepted,exact preferredName
TFR2,accepted,exact preferredName
TFRC,accepted,exact preferredName
TG,accepted,exact preferredName
TGFA,accepted,exact preferredName
TGFB1,accepted,exact preferredName
TGM2,accepted,exact preferredName
TH,accepted,exact preferredName
THBD,accepted,exact preferredName
THBS1,accepted,exact preferredName
THRB,accepted,exact preferredName
TIGAR,accepted,exact preferredName
TIMP1,accepted,exact preferredName
TIMP2,accepted,exact preferredName
TJP1,accepted,exact preferredName
TLR2,accepted,exact preferredName
TLR4,accepted,exact preferredName
TNF,accepted,exact preferredName
TNFAIP6,accepted,exact preferredName
TNFRSF10B,accepted,exact preferredName
TNFRSF11B,accepted,exact preferredName
TNFRSF1A,accepted,exact preferredName
TNFRSF9,accepted,exact preferredName
TNFSF11,accepted,exact preferredName
TNNI3,accepted,exact preferredName
TOMM70A,accepted,reviewed alias -> TOMM70
TOP1,accepted,exact preferredName
TOP2A,accepted,exact preferredName
TOP2B,accepted,exact preferredName
TP53,accepted,exact preferredName
TP73,accepted,exact preferredName
TPH1,accepted,exact preferredName
TPMT,accepted,exact preferredName
TPO,accepted,exact preferredName
TRAF2,accepted,exact preferredName
TRAF6,accepted,exact preferredName
TRAPPC3,accepted,exact preferredName
TRPA1,accepted,exact preferredName
TRPC5,accepted,exact preferredName
TRPM3,accepted,exact preferredName
TRPM4,accepted,exact preferredName
TRPM7,accepted,exact preferredName
TRPV1,accepted,exact preferredName
TRPV2,accepted,exact preferredName
TRPV3,accepted,exact preferredName
TRPV4,accepted,exact preferredName
TTK,accepted,exact preferredName
TUBA1A,accepted,exact preferredName
TUBA1B,accepted,exact preferredName
TUBA1C,accepted,exact preferredName
TUBA4A,accepted,exact preferredName
TUBB,accepted,exact preferredName
TUBB4A,accepted,exact preferredName
TUBB4B,accepted,exact preferredName
TUBD1,accepted,exact preferredName
TUBG1,accepted,exact preferredName
TXN,accepted,exact preferredName
TXNIP,accepted,exact preferredName
TYMS,accepted,exact preferredName
TYR,accepted,exact preferredName
TYRP1,accepted,exact preferredName
UCHL1,accepted,exact preferredName
UCKL1,accepted,exact preferredName
UCP1,accepted,exact preferredName
UCP2,accepted,exact preferredName
UCP3,accepted,exact preferredName
UGT1A1,accepted,exact preferredName
UGT1A3,accepted,exact preferredName
UGT1A9,accepted,exact preferredName
UGT2B28,accepted,exact preferredName
UGT2B4,accepted,exact preferredName
UQCRC1,accepted,exact preferredName
USP10,accepted,exact preferredName
VCAM1,accepted,exact preferredName
VDR,excluded,no exact or reviewed protein mapping returned by STRING
VEGFA,excluded,no exact or reviewed protein mapping returned by STRING
VEGFC,accepted,exact preferredName
VIM,accepted,exact preferredName
VKORC1,accepted,exact preferredName
VKORC1L1,accepted,exact preferredName
VLDLR,accepted,exact preferredName
VTN,accepted,exact preferredName
VWF,accepted,exact preferredName
WARS2,accepted,exact preferredName
WEE1,accepted,exact preferredName
XBP1,accepted,exact preferredName
XDH,accepted,exact preferredName
XIAP,accepted,exact preferredName
XPO1,accepted,exact preferredName
YAP1,accepted,exact preferredName
YARS2,accepted,exact preferredName
YWHAE,accepted,exact preferredName
YWHAZ,accepted,exact preferredName
YY1,accepted,exact preferredName
ZEB1,accepted,exact preferredName
ZEB2,accepted,exact preferredName
