gene1,gene2,gene3
AKR1B10,COMT,SLC6A3
AKR1B10,COMT,TPH1
AKR1B10,CS,GOT1
AKR1B10,CS,MDH2
AKR1B10,CS,MGLL
AKR1B10,CYP11B2,CYP19A1
AKR1B10,CYP19A1,HK2
AKR1B10,DRD2,HTR2A
AKR1B10,DRD2,MGLL
AKR1B10,DRD2,SLC6A3
AKR1B10,DRD2,TPH1
AKR1B10,GATM,GLUL
AKR1B10,GCK,MDH2
AKR1B10,GOT1,MDH2
AKR1B10,HCRT,MGLL
AKR1B10,HK2,MDH2
AKR1B10,HK2,TYMS
AKR1B10,HTR2A,MAOA
AKR1B10,HTR2A,MGLL
AKR1B10,HTR2A,SLC6A3
AKR1B10,HTR2A,TH
AKR1B10,MAOA,MAOB
AKR1B10,MAOB,SLC6A3
AKR1B10,MDH2,MGLL
AKR1B10,MGLL,TAC1
AKR1B10,NPY,TPH1
AKR1B10,SLC6A3,TPH1
ALAS2,ALDH1B1,ALDH2
ALAS2,ALDH1B1,GLUL
ALAS2,ALDH2,GLUL
ALAS2,GATM,TYMS
ALDH1B1,ALDH2,CHAT
ALDH1B1,ALDH2,COMT
ALDH1B1,ALDH2,CS
ALDH1B1,ALDH2,DRD2
ALDH1B1,ALDH2,DUOX2
ALDH1B1,ALDH2,FASN
ALDH1B1,ALDH2,GABRA1
ALDH1B1,ALDH2,GCK
ALDH1B1,ALDH2,GOT1
ALDH1B1,ALDH2,HK2
ALDH1B1,ALDH2,HTR2A
ALDH1B1,ALDH2,IDO1
ALDH1B1,ALDH2,MGLL
ALDH1B1,ALDH2,NOS1
ALDH1B1,ALDH2,NOS2
ALDH1B1,ALDH2,NPY
ALDH1B1,ALDH2,PLG
ALDH1B1,ALDH2,SIRT3
ALDH1B1,ALDH2,SLC6A3
ALDH1B1,ALDH2,TH
ALDH1B1,ALDH2,TPH1
ALDH1B1,ALDH3A1,COMT
ALDH1B1,ALDH3A1,GATM
ALDH1B1,ALDH3A1,GLUL
ALDH1B1,CHAT,MAOB
ALDH1B1,COMT,DRD2
ALDH1B1,COMT,HTR2A
ALDH1B1,COMT,SLC6A3
ALDH1B1,CS,GATM
ALDH1B1,CS,GLUL
ALDH1B1,CS,GOT1
ALDH1B1,CS,MDH2
ALDH1B1,DRD2,HTR2A
ALDH1B1,DRD2,SLC6A3
ALDH1B1,GATM,GOT1
ALDH1B1,GATM,MDH2
ALDH1B1,GATM,SIRT3
ALDH1B1,GCK,HK2
ALDH1B1,GLUL,GOT1
ALDH1B1,GLUL,MDH2
ALDH1B1,GLUL,SIRT3
ALDH1B1,GOT1,MDH2
ALDH1B1,HTR2A,MAOB
ALDH1B1,HTR2A,SLC6A3
ALDH2,ALDH3A1,COMT
ALDH2,ALDH3A1,GATM
ALDH2,ALDH3A1,GLUL
ALDH2,CHAT,MAOB
ALDH2,COMT,DRD1
ALDH2,COMT,HTR2A
ALDH2,COMT,SLC6A3
ALDH2,CS,GATM
ALDH2,CS,GLUL
ALDH2,CS,GOT1
ALDH2,DRD1,SLC6A3
ALDH2,DRD2,HTR2A
ALDH2,DRD2,SLC6A3
ALDH2,GATM,GOT1
ALDH2,GATM,SIRT3
ALDH2,GCK,HK2
ALDH2,GLUL,GOT1
ALDH2,GLUL,SIRT3
ALDH2,HTR2A,MAOB
ALDH2,HTR2A,SLC6A3
ALDH2,HTR2A,TPH1
ALDH2,MDH2,SIRT3
ALDH3A1,CHAT,COMT
ALDH3A1,CHAT,MAOB
ALDH3A1,COMT,TPH1
ALDH3A1,CS,GOT1
ALDH3A1,DRD1,SLC6A3
ALDH3A1,DRD2,HTR2A
ALDH3A1,DRD2,SLC6A3
ALDH3A1,GATM,GLUL
ALDH3A1,GCK,HK2
ALDH3A1,GSR,NQO1
ALDH3A1,GSR,PRDX1
ALDH3A1,HTR2A,MAOB
ALDH3A1,HTR2A,SLC6A3
ALDH3A1,HTR2A,TPH1
ALDH3A1,OPRM1,SLC6A3
ATF4,CANX,EIF2AK2
ATF4,CRH,HCRT
ATF4,CRH,OPRM1
ATF4,PLA2G2A,PLA2G4A
BAX,BGLAP,SOX9
BAX,CANX,ITPR3
BAX,EIF2AK2,EIF2S1
BAX,GSR,NQO1
BAX,GSR,PRDX1
BAX,HK2,KCNJ11
BAX,HK2,TYMS
BAX,ITPR1,ITPR3
BAX,KEAP1,NQO1
BAX,PRDX1,SOD2
BAX,SIRT3,SOD2
BGLAP,COL1A2,NRP1
BGLAP,CTSK,ESRRA
BGLAP,CTSK,HCRT
BGLAP,EIF2AK2,EIF2S1
BGLAP,FGF23,ITGA5
BGLAP,FGF23,NRP1
BGLAP,FURIN,NPPA
BGLAP,HCRT,TNFSF11
BGLAP,ITGA5,SOX9
BGLAP,SOX9,VIM
BTK,EIF2AK2,EIF2S1
BTK,ITPR1,ITPR3
C3,F2,MB
C3,F2,PLA2G7
C3,FURIN,NRP1
C3,MB,MPO
C3,MPO,PLA2G7
CALR,COL1A1,COL1A2
CALR,EIF2AK2,EIF2S1
CAMP,CTSK,NFATC1
CAMP,FGF23,MPO
CAMP,MB,MPO
CAMP,MPO,OPRM1
CAMP,MPO,TFRC
CAMP,NCF2,RAC2
CAMP,NCOA2,RARA
CAMP,NCOA2,RXRA
CAMP,PRKCZ,RAC2
CANX,CFTR,TFRC
CANX,DUOX2,RAC2
CANX,EIF2AK2,EIF2S1
CANX,EIF2S1,ITPR3
CANX,GRM5,ITPR3
CANX,ITPR3,KCNH2
CDK5,PRDX1,RRM1
CDK5,PRDX1,SIRT3
CEBPA,CYP51A1,SQLE
CHAT,GATM,GLUL
CHAT,GOT1,MDH2
CHAT,GSR,PRDX1
CHAT,PRDX1,SOD2
CNR1,CRH,NTRK2
CNR1,DRD1,NTRK2
CNR1,DRD2,GRM5
CNR1,DRD2,HTR3A
CNR1,HTR2A,NTRK1
CNR1,HTR2A,PRKCG
CNR1,MGLL,OPRM1
CNR1,MGLL,TPH1
COL1A1,COL1A2,FABP4
COL1A1,COL1A2,FGF23
COL1A1,COL1A2,NRP1
COL1A2,FABP4,LPL
COL1A2,FGF23,ITGA5
COL1A2,FURIN,NRP1
COL1A2,ITGA5,NRP1
COL1A2,ITGA5,SOX9
COL1A2,ITGA5,TFRC
COMT,DRD1,GRM5
COMT,GRM5,SLC6A3
CRH,CTSK,HCRT
CRH,CTSK,TAC1
CRH,CTSK,TNFSF11
CRH,CYP11B2,HCRT
CRH,CYP11B2,OPRM1
CRH,CYP11B2,TAC1
CRH,EGR1,HCRT
CRH,GABBR1,OPRM1
CRH,GRM5,HTR2A
CRH,GRM5,NPY
CRH,GRM5,TAC1
CRH,HCRT,NFATC1
CRH,HCRT,NR1H4
CRH,HCRT,NTRK1
CRH,HCRT,NTRK2
CRH,HCRT,PRKCG
CRH,HCRT,RARA
CRH,HCRT,TNFSF11
CRH,HTR3A,NPY
CRH,IDO1,TPH1
CRH,NCOA2,NR1H4
CRH,NCOA2,RARA
CRH,NOS2,TAC1
CRH,NPY,SIRT3
CRH,NR1H4,TAC1
CRH,SIRT3,SOD2
CS,ESRRA,NCOA2
CS,FABP4,GOT1
CS,FABP4,MDH2
CS,GOT1,HPRT1
CS,HPRT1,MDH2
